대학교명,학과명,대학교ID,학과ID
LH토지주택대학교,건축공학과,303,62
가야대학교,광학공학과,188,70
가야대학교,교양인문학부,188,4
가천대학교,교양인문학부,123,4
가천대학교,국제학부,123,39
가천대학교,기타아시아어학과,123,9
가천대학교,기타유럽어학과,123,10
가천대학교,응급구조학과,123,117
가톨릭관동대학교,경영정보학과,147,23
가톨릭관동대학교,경제학과,147,26
가톨릭관동대학교,관광경영학과,147,30
가톨릭관동대학교,광학공학과,147,70
가톨릭관동대학교,교양공학부,147,71
가톨릭관동대학교,교양인문학부,147,4
가톨릭관동대학교,군사학과,147,40
가톨릭관동대학교,기독교학과,147,8
가톨릭관동대학교,보건관리학과,147,107
가톨릭관동대학교,의료정보공학과,147,119
가톨릭대학교,교양경상학부,124,33
가톨릭대학교,교양공학부,124,71
가톨릭대학교,교양사회과학부,124,34
가톨릭대학교,교양생활과학부,124,81
가톨릭대학교,교양인문학부,124,4
가톨릭대학교,교양자연과학부,124,82
가톨릭대학교,국제법무학과,124,37
가톨릭대학교,국제학부,124,39
가톨릭대학교,생명과학과,124,95
가톨릭상지대학교,국방기술과,248,73
가톨릭상지대학교,농수산과,248,84
가톨릭상지대학교,바이오생명정보과,248,91
가톨릭상지대학교,반려동물과,248,92
가톨릭상지대학교,보건행정과,248,108
강남대학교,교양사회과학부,125,34
강동대학교,교양과,50,3
강동대학교,산업안전과,50,110
강동대학교,소방안전관리과,50,111
강릉영동대학교,간호과,244,101
강릉영동대학교,건축과,244,63
강릉영동대학교,경영정보과,244,22
강릉영동대학교,경찰행정과,244,27
강릉영동대학교,관광경영과,244,29
강릉영동대학교,광고기획과,244,31
강릉영동대학교,금형설계과,244,76
강릉영동대학교,농수산과,244,84
강릉영동대학교,물리치료과,244,103
강릉영동대학교,의료보장구과,244,118
강릉영동대학교,의료정보시스템과,244,120
강서대학교,경영정보학과,251,23
강원대학교,교양공학부,148,71
강원대학교,교양사회과학부,148,34
강원대학교,교양생활과학부,148,81
강원대학교,교양자연과학부,148,82
강원대학교,독어독문학과,148,11
강원도립대학교,경찰행정과,271,27
강원도립대학교,농수산과,271,84
강원도립대학교,소방안전관리과,271,111
거제대학교,경영회계정보과,59,25
거제대학교,교양과,59,3
거제대학교,국제경영과,59,35
거제대학교,기계과,59,78
거제대학교,산업안전과,59,110
건국대학교,교양사회과학부,61,34
건국대학교,교양인문학부,61,4
건국대학교,기타유럽어학과,61,10
건국대학교 글로컬캠퍼스,광고홍보학과,198,32
건국대학교 글로컬캠퍼스,교양사회과학부,198,34
건국대학교 글로컬캠퍼스,교양자연과학부,198,82
건국대학교 글로컬캠퍼스,문예창작학과,198,16
건양대학교,건축학과,156,65
건양대학교,교양공학부,156,71
건양대학교,교양인문학부,156,4
건양사이버대학교,경영학과,107,24
건양사이버대학교,광고홍보학과,107,32
건양사이버대학교,교양인문학부,107,4
건양사이버대학교,교육학과,107,45
건양사이버대학교,보건관리학과,107,107
경기과학기술대학교,건축과,36,63
경기과학기술대학교,게임콘텐츠과,36,67
경기과학기술대학교,경영정보과,36,22
경기과학기술대학교,교양과,36,3
경기과학기술대학교,금형설계과,36,76
경기과학기술대학교,기계과,36,78
경기과학기술대학교,기계설계과,36,80
경기과학기술대학교,바이오생명정보과,36,91
경기과학기술대학교,보건행정과,36,108
경기과학기술대학교,소방안전관리과,36,111
경기대학교,교양인문학부,126,4
경기대학교,교통공학과,126,72
경기대학교,국제관계학과,126,36
경기대학교,문예창작학과,126,16
경남대학교,교양인문학부,20,4
경남대학교,교양자연과학부,20,82
경남도립거창대학,간호과,309,101
경남도립거창대학,건축과,309,63
경남도립거창대학,보건행정과,309,108
경남도립남해대학,산업안전과,360,110
경남정보대학교,건축과,26,63
경남정보대학교,경영정보과,26,22
경남정보대학교,경찰행정과,26,27
경남정보대학교,교양과,26,3
경남정보대학교,기계과,26,78
경남정보대학교,기계설계과,26,80
경남정보대학교,문예창작과,26,15
경남정보대학교,반려동물과,26,92
경남정보대학교,보건행정과,26,108
경남정보대학교,소방안전관리과,26,111
경동대학교,교양인문학부,127,4
경민대학교,경영정보과,37,22
경민대학교,교양과,37,3
경민대학교,농수산과,37,84
경민대학교,보건행정과,37,108
경민대학교,소방안전관리과,37,111
경복대학교,경영정보과,234,22
경복대학교,관광경영과,234,29
경복대학교,반려동물과,234,92
경복대학교,보건행정과,234,108
경북과학대학교,관광경영과,287,29
경북과학대학교,국방기술과,287,73
경북과학대학교,농수산과,287,84
경북과학대학교,보건행정과,287,108
경북도립대학교,소방안전관리과,361,111
경북도립대학교,응급구조과,361,116
경북보건대학교,보건환경과,351,109
경북전문대학교,건축과,277,63
경북전문대학교,경찰행정과,277,27
경북전문대학교,물리치료과,277,103
경북전문대학교,보건행정과,277,108
경북전문대학교,소방안전관리과,277,111
경상국립대학교,고분자공학과,189,68
경상국립대학교,교양인문학부,189,4
경상국립대학교,산림자원학과,189,93
경성대학교,교양공학부,95,71
경운대학교,교양공학부,174,71
경운대학교,교양사회과학부,174,34
경운대학교,교양인문학부,174,4
경인여자대학교,간호과,24,101
경인여자대학교,경영정보과,24,22
경인여자대학교,관광경영과,24,29
경인여자대학교,관광통역과,24,2
경인여자대학교,교양과,24,3
경인여자대학교,반려동물과,24,92
경인여자대학교,보건행정과,24,108
경인여자대학교,보건환경과,24,109
경일대학교,교양공학부,175,71
경일대학교,교양인문학부,175,4
경일대학교,교통공학과,175,72
경일대학교,농공학과,175,83
경희대학교,교양공학부,62,71
경희대학교,교양사회과학부,62,34
경희대학교,교양인문학부,62,4
경희대학교,교양자연과학부,62,82
경희대학교,러시아어문학과,62,13
경희대학교,약학부,62,112
경희사이버대학교,경영학과,63,24
경희사이버대학교,관광경영학과,63,30
경희사이버대학교,교양사회과학부,63,34
경희사이버대학교,교양인문학부,63,4
경희사이버대학교,국어교육과,63,46
경희사이버대학교,국어국문학과,63,5
경희사이버대학교,국제학부,63,39
경희사이버대학교,문예창작학과,63,16
경희사이버대학교,보건관리학과,63,107
계명대학교,교양인문학부,114,4
계명대학교,교양자연과학부,114,82
계명문화대학교,건축과,268,63
계명문화대학교,경영회계정보과,268,25
계명문화대학교,국제경영과,268,35
계명문화대학교,기계과,268,78
계명문화대학교,물리치료과,268,103
계명문화대학교,반려동물과,268,92
계명문화대학교,보건행정과,268,108
계명문화대학교,소방안전관리과,268,111
계명문화대학교,언어재활과,268,113
계명문화대학교,응급구조과,268,116
계명문화대학교,의료보장구과,268,118
계원예술대학교,건축과,305,63
계원예술대학교,게임콘텐츠과,305,67
고려대학교,가정교육과,64,41
고려대학교,건축학과,64,65
고려대학교,교양공학부,64,71
고려대학교,교양인문학부,64,4
고려대학교,교양자연과학부,64,82
고려대학교,교육학과,64,45
고려대학교,국어교육과,64,46
고려대학교,국어국문학과,64,5
고려대학교,독어독문학과,64,11
고려대학교,러시아어문학과,64,13
고려대학교,물리학과,64,88
고려대학교,방사선학과,64,106
고려대학교,수학교육과,64,56
고려대학교,역사교육과,64,60
고려대학교 세종캠퍼스,고고학과,22,1
고려대학교 세종캠퍼스,교양인문학부,22,4
고려대학교 세종캠퍼스,국어국문학과,22,5
고려대학교 세종캠퍼스,국제문화정보학과,22,6
고려대학교 세종캠퍼스,국제지역학과,22,7
고려대학교 세종캠퍼스,독어독문학과,22,11
고려대학교 세종캠퍼스,독일학과,22,12
고려대학교 세종캠퍼스,문예창작학과,22,16
고려대학교 세종캠퍼스,약학부,22,112
고려사이버대학교,건축공학과,65,62
고려사이버대학교,경영학과,65,24
고려사이버대학교,경찰행정학과,65,28
고려사이버대학교,교양공학부,65,71
고려사이버대학교,교양인문학부,65,4
고려사이버대학교,교육학과,65,45
고려사이버대학교,보건관리학과,65,107
고신대학교,광고홍보학과,96,32
고신대학교,교양공학부,96,71
고신대학교,교양인문학부,96,4
고신대학교,보건관리학과,96,107
고신대학교,생명공학과,96,94
광양보건대학교,물리치료과,359,103
광양보건대학교,방사선과,359,105
광양보건대학교,응급구조과,359,116
광운대학교,게임공학과,66,66
광운대학교,교양공학부,66,71
광운대학교,교양인문학부,66,4
광운대학교,교양자연과학부,66,82
광운대학교,국제법무학과,66,37
광운대학교,국제지역학과,66,7
광운대학교,국제통상학과,66,38
광운대학교,국제학부,66,39
광주과학기술원,교양인문학부,118,4
광주과학기술원,기계공학과,118,77
광주과학기술원,물리학과,118,88
광주과학기술원,생명과학과,118,95
광주교육대학교,가정교육과,293,41
광주교육대학교,과학교육과,293,43
광주교육대학교,교육학과,293,45
광주교육대학교,미술교육과,293,52
광주교육대학교,사회교육과,293,54
광주교육대학교,수학교육과,293,56
광주대학교,교양공학부,119,71
광주대학교,교양인문학부,119,4
광주보건대학교,경영정보과,233,22
광주보건대학교,물리치료과,233,103
광주보건대학교,방사선과,233,105
광주보건대학교,보건행정과,233,108
광주여자대학교,교육학과,256,45
구미대학교,게임콘텐츠과,288,67
구미대학교,관광경영과,288,29
구미대학교,기계과,288,78
구미대학교,반려동물과,288,92
구미대학교,보건행정과,288,108
구미대학교,소방안전관리과,288,111
구미대학교,언어재활과,288,113
구미대학교,의료보장구과,288,118
국립공주대학교,기계설계공학과,210,79
국립군산대학교,고고학과,16,1
국립군산대학교,교양자연과학부,16,82
국립군산대학교,교육학과,16,45
국립금오공과대학교,건축공학과,176,62
국립금오공과대학교,건축학과,176,65
국립금오공과대학교,교양공학부,176,71
국립금오공과대학교,교양인문학부,176,4
국립금오공과대학교,생화학과,176,98
국립목포대학교,교양공학부,172,71
국립목포대학교,교양사회과학부,172,34
국립목포대학교,교양생활과학부,172,81
국립목포대학교,교양자연과학부,172,82
국립목포대학교,국제문화정보학과,172,6
국립목포대학교,독어독문학과,172,11
국립목포대학교,문화인류학과,172,19
국립목포대학교,물리학과,172,88
국립목포대학교,산림자원학과,172,93
국립목포해양대학교,건축학과,292,65
국립목포해양대학교,군사학과,292,40
국립부경대학교,교양사회과학부,193,34
국립부경대학교,의료정보공학과,193,119
국립순천대학교,교양경상학부,218,33
국립순천대학교,약학부,218,112
국립안동대학교,경제학과,177,26
국립안동대학교,관광경영학과,177,30
국립안동대학교,국어국문학과,177,5
국립안동대학교,기계설계공학과,177,79
국립안동대학교,기타유럽어학과,177,10
국립안동대학교,문화인류학과,177,19
국립안동대학교,물리학과,177,88
국립안동대학교,산림자원학과,177,93
국립안동대학교,생물학과,177,97
국립안동대학교,생화학과,177,98
국립창원대학교,간호학과,201,102
국립창원대학교,건축공학과,201,62
국립창원대학교,건축학과,201,65
국립창원대학교,경영학과,201,24
국립창원대학교,국어국문학과,201,5
국립창원대학교,국제관계학과,201,36
국립창원대학교,기계공학과,201,77
국립창원대학교,독어독문학과,201,11
국립창원대학교,물리학과,201,88
국립창원대학교,생명과학과,201,95
국립창원대학교,생물학과,201,97
국립한국교통대학교,교양인문학부,152,4
국립한국해양대학교,건축학과,205,65
국립한국해양대학교,교육학과,205,45
국립한국해양대학교,군사학과,205,40
국립한밭대학교,교양공학부,108,71
국립한밭대학교,교양인문학부,108,4
국립한밭대학교,교양자연과학부,108,82
국민대학교,건축공학과,192,62
국민대학교,건축학과,192,65
국민대학교,광고홍보학과,192,32
국민대학교,교양사회과학부,192,34
국제대학교,게임콘텐츠과,38,67
국제대학교,교양과,38,3
국제대학교,기계과,38,78
국제대학교,반려동물과,38,92
국제대학교,산업안전과,38,110
국제대학교,소방안전관리과,38,111
국제대학교,의료보장구과,38,118
국제사이버대학교,경영학과,128,24
국제사이버대학교,교양인문학부,128,4
국제사이버대학교,교육학과,128,45
국제사이버대학교,국어교육과,128,46
국제사이버대학교,농공학과,128,83
군산간호대학교,간호과,350,101
군장대학교,간호과,246,101
군장대학교,경영정보과,246,22
군장대학교,국제경영과,246,35
군장대학교,기계과,246,78
군장대학교,물리치료과,246,103
극동대학교,교양인문학부,153,4
글로벌사이버대학교,경영학과,157,24
글로벌사이버대학교,교양사회과학부,157,34
글로벌사이버대학교,교양인문학부,157,4
글로벌사이버대학교,국제지역학과,157,7
글로벌사이버대학교,문화인류학과,157,19
금강대학교,국제통상학과,158,38
금강대학교,기타유럽어학과,158,10
기독간호대학교,간호과,347,101
김천대학교,교양인문학부,178,4
김천대학교,보건관리학과,178,107
김포대학교,게임콘텐츠과,39,67
김포대학교,경영정보과,39,22
김포대학교,경찰행정과,39,27
김포대학교,관광경영과,39,29
김포대학교,교양과,39,3
